year,demand,demand_unit,location_name
2025,100,million passenger-km,ID
2026,100,million passenger-km,ID
2027,100,million passenger-km,ID
2028,100,million passenger-km,ID
2029,100,million passenger-km,ID
2030,100,million passenger-km,ID
2031,100,million passenger-km,ID
2032,100,million passenger-km,ID
2033,100,million passenger-km,ID
2034,100,million passenger-km,ID
2035,100,million passenger-km,ID
2036,100,million passenger-km,ID
2037,100,million passenger-km,ID
2038,100,million passenger-km,ID
2039,100,million passenger-km,ID
2040,100,million passenger-km,ID
2041,100,million passenger-km,ID
2042,100,million passenger-km,ID
2043,100,million passenger-km,ID
2044,100,million passenger-km,ID
2045,100,million passenger-km,ID
2046,100,million passenger-km,ID
2047,100,million passenger-km,ID
2048,100,million passenger-km,ID
2049,100,million passenger-km,ID
2050,100,million passenger-km,ID
2051,100,million passenger-km,ID
2052,100,million passenger-km,ID
2053,100,million passenger-km,ID
2054,100,million passenger-km,ID
