Type,sizing_constant,sizing_constant_unit,lifespan,lifespan_unit,RE_type,set_size,set_number,maximum_size,maximum_size_unit,location_name
0,100.0,G$/GWp,262800,h,WINDOUT,24,0,0.0,GWp,SGP
1,5.64263011,G$/GWp,262800,h,WINDOUT,24,0,504.435,GWp,IDN
2,7.56185787,G$/GWp,262800,h,WINDOUT,24,0,61.899,GWp,MYS
3,5.8672392680000005,G$/GWp,262800,h,WINDOUT,24,0,1.542,GWp,BRN
4,4.80425166,G$/GWp,262800,h,WINDOUT,24,0,12.544,GWp,KHM
5,3.797411871009414,G$/GWp,262800,h,WINDOUT,24,0,54.402,GWp,MMR
6,3.902202852,G$/GWp,262800,h,WINDOUT,24,0,90.534,GWp,PHL
7,4.362323162,G$/GWp,262800,h,WINDOUT,24,0,66.347,GWp,THA
8,3.848072069,G$/GWp,262800,h,WINDOUT,24,0,155.43,GWp,VNM
9,1.203931194,G$/GWp,262800,h,WINDOUT,24,0,13.3108,GWp,LAO
10,3.370660220995625,G$/GWp,262800,h,WINDOUT,24,0,374.799,GWp,AUS
11,3.1368274567628993,G$/GWp,262800,h,WINDOUT,24,0,10.392,GWp,SAU
12,3.37765553294768,G$/GWp,262800,h,WINDOUT,24,0,145.004,GWp,IND
13,1.446743332,G$/GWp,262800,h,WINDOUT,24,0,1000.0,GWp,ARE
14,3.603365884,G$/GWp,219000,h,WINDOUT,24,0,36.537,GWp,MAR
15,3.382180847,G$/GWp,219000,h,WINDOUT,24,0,1.974,GWp,KEN
16,3.618405964,G$/GWp,219000,h,WINDOUT,24,0,76.188,GWp,ZAF
17,4.928999149,G$/GWp,262800,h,WINDOUT,24,0,34.055,GWp,KOR
18,2.7702224419999997,G$/GWp,219000,h,WINDOUT,24,0,8.887,GWp,EGY
19,3.757693378,G$/GWp,219000,h,WINDOUT,24,0,13.181,GWp,NGA
20,3.544218615,G$/GWp,262800,h,WINDOUT,24,0,256.038,GWp,BRA
21,3.4141575659999996,G$/GWp,262800,h,WINDOUT,24,0,16.908,GWp,COL
22,3.803043545,G$/GWp,262800,h,WINDOUT,24,0,18.917,GWp,PER
23,3.49033641,G$/GWp,262800,h,WINDOUT,24,0,107.003,GWp,CHL
24,2.9781197308027423,G$/GWp,219000,h,WINDOUT,24,0,13.301,GWp,FRA
25,3.0733467760854967,G$/GWp,219000,h,WINDOUT,24,0,8.599,GWp,DEU
26,3.052572757270928,G$/GWp,219000,h,WINDOUT,24,0,198.837,GWp,USA
27,3.4228676645322644,G$/GWp,219000,h,WINDOUT,24,0,560.297,GWp,RUS
28,2.735837257502252,G$/GWp,219000,h,WINDOUT,24,0,150.11,GWp,CHN
29,3.5783888307145832,G$/GWp,219000,h,WINDOUT,24,0,14.829,GWp,TUR
30,4.842915954355655,G$/GWp,219000,h,WINDOUT,24,0,76.848,GWp,JPN
