Type,sizing_constant,sizing_constant_unit,lifespan,lifespan_unit,RE_type,set_size,set_number,maximum_size,maximum_size_unit,location_name
0,100.0,G$/GWp,262800,h,WINDOUT,24,0,0.0,GWp,SGP
1,2.384489431,G$/GWp,262800,h,WINDOUT,24,0,66.4448,GWp,IDN
2,2.546901035,G$/GWp,262800,h,WINDOUT,24,0,10.0264,GWp,MYS
3,2.546930602,G$/GWp,262800,h,WINDOUT,24,0,0.028,GWp,BRN
4,1.667025058,G$/GWp,262800,h,WINDOUT,24,0,10.6168,GWp,KHM
5,1.422011554204316,G$/GWp,262800,h,WINDOUT,24,0,153.965,GWp,MMR
6,1.764575908,G$/GWp,262800,h,WINDOUT,24,0,16.7858,GWp,PHL
7,1.813859551,G$/GWp,262800,h,WINDOUT,24,0,40.792,GWp,THA
8,1.539033804,G$/GWp,262800,h,WINDOUT,24,0,20.4448,GWp,VNM
9,1.97650945,G$/GWp,262800,h,WINDOUT,24,0,12.8176,GWp,LAO
10,1.27894836146773,G$/GWp,262800,h,WINDOUT,24,0,2698.71,GWp,AUS
11,1.4220115542044405,G$/GWp,262800,h,WINDOUT,24,0,711.088,GWp,SAU
12,1.112548261343678,G$/GWp,262800,h,WINDOUT,24,0,816.151,GWp,IND
13,1.446743332,G$/GWp,262800,h,WINDOUT,24,0,1000.0,GWp,ARE
14,1.468929644,G$/GWp,219000,h,WINDOUT,24,0,127.9985,GWp,MAR
15,1.4123068479999998,G$/GWp,219000,h,WINDOUT,24,0,170.0195,GWp,KEN
16,1.480256869,G$/GWp,219000,h,WINDOUT,24,0,433.6325,GWp,ZAF
17,1.534097811,G$/GWp,262800,h,WINDOUT,24,0,24.066,GWp,KOR
18,1.328822723,G$/GWp,219000,h,WINDOUT,24,0,378.448,GWp,EGY
19,1.4123068479999998,G$/GWp,219000,h,WINDOUT,24,0,256.5255,GWp,NGA
20,1.054285569,G$/GWp,262800,h,WINDOUT,24,0,1280.9475,GWp,BRA
21,1.415276988,G$/GWp,262800,h,WINDOUT,24,0,85.7325,GWp,COL
22,1.415276988,G$/GWp,262800,h,WINDOUT,24,0,38.962,GWp,PER
23,1.239928337,G$/GWp,262800,h,WINDOUT,24,0,124.4845,GWp,CHL
24,1.4771052692306,G$/GWp,262800,h,WINDOUT,24,0,125.139,GWp,FRA
25,1.4718463593800648,G$/GWp,262801,h,WINDOUT,24,0,55.37,GWp,DEU
26,1.191193572380444,G$/GWp,262802,h,WINDOUT,24,0,1363.089,GWp,USA
27,1.395706777616471,G$/GWp,262803,h,WINDOUT,24,0,1983.886,GWp,RUS
28,1.10398291535453,G$/GWp,262804,h,WINDOUT,24,0,338.8896,GWp,CHN
29,1.4024621505327652,G$/GWp,262805,h,WINDOUT,24,0,230.6955,GWp,TUR
30,1.280747716352766,G$/GWp,262806,h,WINDOUT,24,0,45.367,GWp,JPN
