Type,sizing_constant,sizing_constant_unit,lifespan,lifespan_unit,RE_type,set_size,set_number,maximum_size,maximum_size_unit,location_name
0,100.0,G$/GWp,262800,h,WINDOUT,24,0,0.0,GWp,SGP
1,9.904322753,G$/GWp,262800,h,WINDOUT,24,0,314.959,GWp,IDN
2,8.271734982,G$/GWp,262800,h,WINDOUT,24,0,57.516,GWp,MYS
3,8.016821458,G$/GWp,262800,h,WINDOUT,24,0,1.542,GWp,BRN
4,8.704494233,G$/GWp,262800,h,WINDOUT,24,0,9.388,GWp,KHM
5,5.238070382301563,G$/GWp,219000,h,WINDOUT,24,0,158.592,GWp,MMR
6,6.597614354,G$/GWp,262800,h,WINDOUT,24,0,50.33,GWp,PHL
7,7.944263823,G$/GWp,262800,h,WINDOUT,24,0,41.794,GWp,THA
8,6.485050140999999,G$/GWp,262800,h,WINDOUT,24,0,90.11,GWp,VNM
9,1.203931194,G$/GWp,262800,h,WINDOUT,24,0,13.3108,GWp,LAO
10,5.031492740612197,G$/GWp,219000,h,WINDOUT,24,0,1182.532,GWp,AUS
11,4.341946379764338,G$/GWp,219000,h,WINDOUT,24,0,45.476,GWp,SAU
12,5.523589513758751,G$/GWp,219000,h,WINDOUT,24,0,244.769,GWp,IND
13,1.446743332,G$/GWp,262800,h,WINDOUT,24,0,1000.0,GWp,ARE
14,4.186917674,G$/GWp,219000,h,WINDOUT,24,0,15.857,GWp,MAR
15,4.716545551,G$/GWp,219000,h,WINDOUT,24,0,3.689,GWp,KEN
16,100.0,G$/GWp,219000,h,WINDOUT,24,0,0.0,GWp,ZAF
17,6.096929979,G$/GWp,262800,h,WINDOUT,24,0,56.144,GWp,KOR
18,4.077039554,G$/GWp,219000,h,WINDOUT,24,0,19.679,GWp,EGY
19,4.055453357,G$/GWp,219000,h,WINDOUT,24,0,14.021,GWp,NGA
20,100.0,G$/GWp,262800,h,WINDOUT,24,0,0.0,GWp,BRA
21,5.060037552,G$/GWp,262800,h,WINDOUT,24,0,9.394,GWp,COL
22,5.055700828,G$/GWp,262800,h,WINDOUT,24,0,69.657,GWp,PER
23,4.972243358,G$/GWp,262800,h,WINDOUT,24,0,143.341,GWp,CHL
24,4.83029148996083,G$/GWp,219000,h,WINDOUT,24,0,91.829,GWp,FRA
25,3.609550302441497,G$/GWp,219000,h,WINDOUT,24,0,8.061,GWp,DEU
26,4.830580552620449,G$/GWp,219000,h,WINDOUT,24,0,395.209,GWp,USA
27,4.9227869140632325,G$/GWp,219000,h,WINDOUT,24,0,1763.924,GWp,RUS
28,4.108657465571288,G$/GWp,219000,h,WINDOUT,24,0,248.119,GWp,CHN
29,4.567925102965836,G$/GWp,219000,h,WINDOUT,24,0,10.483,GWp,TUR
30,5.7991693766648,G$/GWp,219000,h,WINDOUT,24,0,147.38,GWp,JPN
