Type,sizing_constant,sizing_constant_units,usage_constant,usage_constant_units,charge_efficiency,discharge_efficiency,self_discharge_rate,existing_capacity,existing_capacity_units,existing_capacity_decay_rate,interest_rate,lifespan,lifespan_units,location_name
0,0.271,G$/GWh,2.71E-05,G$/GWh,0.975,0.975,0.0001,0,GWh,0.01,0.03,87600,h,SG
1,0.271,G$/GWh,2.71E-05,G$/GWh,0.975,0.975,0.0001,0,GWh,0.01,0.03,87600,h,ID
2,0.271,G$/GWh,2.71E-05,G$/GWh,0.975,0.975,0.0001,0,GWh,0.01,0.03,87600,h,MY
3,0.271,G$/GWh,2.71E-05,G$/GWh,0.975,0.975,0.0001,0,GWh,0.01,0.03,87600,h,BN
4,0.271,G$/GWh,2.71E-05,G$/GWh,0.975,0.975,0.0001,0,GWh,0.01,0.03,87600,h,KH
5,0.271,G$/GWh,2.71E-05,G$/GWh,0.975,0.975,0.0001,0,GWh,0.01,0.03,87600,h,MM
6,0.271,G$/GWh,2.71E-05,G$/GWh,0.975,0.975,0.0001,0,GWh,0.01,0.03,87600,h,PH
7,0.271,G$/GWh,2.71E-05,G$/GWh,0.975,0.975,0.0001,0,GWh,0.01,0.03,87600,h,TH
8,0.271,G$/GWh,2.71E-05,G$/GWh,0.975,0.975,0.0001,0,GWh,0.01,0.03,87600,h,VN
9,0.271,G$/GWh,2.71E-05,G$/GWh,0.975,0.975,0.0001,0,GWh,0.01,0.03,87600,h,LA
10,0.271,G$/GWh,2.71E-05,G$/GWh,0.975,0.975,0.0001,0,GWh,0.01,0.03,87600,h,AU
11,0.271,G$/GWh,2.71E-05,G$/GWh,0.975,0.975,0.0001,0,GWh,0.01,0.03,87600,h,SA
12,0.271,G$/GWh,2.71E-05,G$/GWh,0.975,0.975,0.0001,0,GWh,0.01,0.03,87600,h,IN
13,0.271,G$/GWh,2.71E-05,G$/GWh,0.975,0.975,0.0001,0,GWh,0.01,0.03,87600,h,AE
14,0.271,G$/GWh,2.71E-05,G$/GWh,0.975,0.975,0.0001,0,GWh,0.01,0.03,87600,h,MA
15,0.271,G$/GWh,2.71E-05,G$/GWh,0.975,0.975,0.0001,0,GWh,0.01,0.03,87600,h,KE
16,0.271,G$/GWh,2.71E-05,G$/GWh,0.975,0.975,0.0001,0,GWh,0.01,0.03,87600,h,ZA
17,0.271,G$/GWh,2.71E-05,G$/GWh,0.975,0.975,0.0001,0,GWh,0.01,0.03,87600,h,KR
18,0.271,G$/GWh,2.71E-05,G$/GWh,0.975,0.975,0.0001,0,GWh,0.01,0.03,87600,h,EG
19,0.271,G$/GWh,2.71E-05,G$/GWh,0.975,0.975,0.0001,0,GWh,0.01,0.03,87600,h,NG
20,0.271,G$/GWh,2.71E-05,G$/GWh,0.975,0.975,0.0001,0,GWh,0.01,0.03,87600,h,BR
21,0.271,G$/GWh,2.71E-05,G$/GWh,0.975,0.975,0.0001,0,GWh,0.01,0.03,87600,h,CO
22,0.271,G$/GWh,2.71E-05,G$/GWh,0.975,0.975,0.0001,0,GWh,0.01,0.03,87600,h,PE
23,0.271,G$/GWh,2.71E-05,G$/GWh,0.975,0.975,0.0001,0,GWh,0.01,0.03,87600,h,CL
24,0.271,G$/GWh,2.71E-05,G$/GWh,0.975,0.975,0.0001,0,GWh,0.01,0.03,87600,h,FR
25,0.271,G$/GWh,2.71E-05,G$/GWh,0.975,0.975,0.0001,0,GWh,0.01,0.03,87600,h,DE
26,0.271,G$/GWh,2.71E-05,G$/GWh,0.975,0.975,0.0001,0,GWh,0.01,0.03,87600,h,US
27,0.271,G$/GWh,2.71E-05,G$/GWh,0.975,0.975,0.0001,0,GWh,0.01,0.03,87600,h,RU
28,0.271,G$/GWh,2.71E-05,G$/GWh,0.975,0.975,0.0001,0,GWh,0.01,0.03,87600,h,CN
29,0.271,G$/GWh,2.71E-05,G$/GWh,0.975,0.975,0.0001,0,GWh,0.01,0.03,87600,h,TR
30,0.271,G$/GWh,2.71E-05,G$/GWh,0.975,0.975,0.0001,0,GWh,0.01,0.03,87600,h,JP
