Type,sizing_constant,sizing_constant_unit,lifespan,lifespan_unit,RE_type,set_size,set_number,maximum_size,maximum_size_unit,location_name
0,100.0,G$/GWp,262800,h,WINDOUT,24,0,0.0,GWp,SGP
1,7.427290944999999,G$/GWp,262800,h,WINDOUT,24,0,370.959,GWp,IDN
2,7.383092179999999,G$/GWp,262800,h,WINDOUT,24,0,57.662,GWp,MYS
3,7.311480502,G$/GWp,262800,h,WINDOUT,24,0,1.542,GWp,BRN
4,6.2998986949999995,G$/GWp,262800,h,WINDOUT,24,0,12.52,GWp,KHM
5,5.056954760844759,G$/GWp,219000,h,WINDOUT,24,0,73.27,GWp,MMR
6,4.395240783,G$/GWp,262800,h,WINDOUT,24,0,77.652,GWp,PHL
7,5.933180333,G$/GWp,262800,h,WINDOUT,24,0,54.163,GWp,THA
8,4.9368314689999995,G$/GWp,262800,h,WINDOUT,24,0,127.81,GWp,VNM
9,1.203931194,G$/GWp,262800,h,WINDOUT,24,0,13.3108,GWp,LAO
10,4.11323043190165,G$/GWp,219000,h,WINDOUT,24,0,647.839,GWp,AUS
11,3.7627937709467703,G$/GWp,219000,h,WINDOUT,24,0,22.248,GWp,SAU
12,3.9687167004121022,G$/GWp,219000,h,WINDOUT,24,0,159.669,GWp,IND
13,1.446743332,G$/GWp,262800,h,WINDOUT,24,0,1000.0,GWp,ARE
14,4.345576921,G$/GWp,219000,h,WINDOUT,24,0,34.934,GWp,MAR
15,4.292148575000001,G$/GWp,219000,h,WINDOUT,24,0,5.708,GWp,KEN
16,4.589256962,G$/GWp,219000,h,WINDOUT,24,0,190.948,GWp,ZAF
17,5.5896589489999995,G$/GWp,262800,h,WINDOUT,24,0,54.589,GWp,KOR
18,3.5653305059999996,G$/GWp,219000,h,WINDOUT,24,0,6.489,GWp,EGY
19,4.31762286,G$/GWp,219000,h,WINDOUT,24,0,20.405,GWp,NGA
20,4.938802840999999,G$/GWp,262800,h,WINDOUT,24,0,636.733,GWp,BRA
21,4.377837016,G$/GWp,262800,h,WINDOUT,24,0,15.547,GWp,COL
22,4.328792073,G$/GWp,262800,h,WINDOUT,24,0,40.107,GWp,PER
23,4.281512112000001,G$/GWp,262800,h,WINDOUT,24,0,125.591,GWp,CHL
24,3.708276182961773,G$/GWp,219000,h,WINDOUT,24,0,48.666,GWp,FRA
25,3.081961403992383,G$/GWp,219000,h,WINDOUT,24,0,5.954,GWp,DEU
26,4.048463270376134,G$/GWp,219000,h,WINDOUT,24,0,255.317,GWp,USA
27,3.934428684193522,G$/GWp,219000,h,WINDOUT,24,0,1242.414,GWp,RUS
28,3.0788591254207853,G$/GWp,219000,h,WINDOUT,24,0,130.069,GWp,CHN
29,4.133163409920292,G$/GWp,219000,h,WINDOUT,24,0,11.095,GWp,TUR
30,5.278985368371358,G$/GWp,219000,h,WINDOUT,24,0,96.007,GWp,JPN
