Type,sizing_constant,sizing_constant_unit,lifespan,lifespan_unit,RE_type,set_size,set_number,maximum_size,maximum_size_unit,location_name
0,100.0,G$/GWp,262800,h,WINDOUT,24,0,0.0,GWp,SGP
1,10.47734019,G$/GWp,262800,h,WINDOUT,24,0,312.127,GWp,IDN
2,8.459377710999998,G$/GWp,262800,h,WINDOUT,24,0,57.513,GWp,MYS
3,8.286272486,G$/GWp,262800,h,WINDOUT,24,0,1.542,GWp,BRN
4,9.685091477,G$/GWp,262800,h,WINDOUT,24,0,8.454,GWp,KHM
5,4.583998240741372,G$/GWp,219000,h,WINDOUT,24,0,84.987,GWp,MMR
6,7.613767453,G$/GWp,262800,h,WINDOUT,24,0,38.74,GWp,PHL
7,8.168972241,G$/GWp,262800,h,WINDOUT,24,0,39.015,GWp,THA
8,7.168639446999999,G$/GWp,262800,h,WINDOUT,24,0,70.596,GWp,VNM
9,1.203931194,G$/GWp,262800,h,WINDOUT,24,0,13.3108,GWp,LAO
10,5.536236671622553,G$/GWp,219000,h,WINDOUT,24,0,940.059,GWp,AUS
11,3.899724208848229,G$/GWp,219000,h,WINDOUT,24,0,36.341,GWp,SAU
12,4.706114120381775,G$/GWp,219000,h,WINDOUT,24,0,133.278,GWp,IND
13,1.446743332,G$/GWp,262800,h,WINDOUT,24,0,1000.0,GWp,ARE
14,4.481454531000001,G$/GWp,219000,h,WINDOUT,24,0,17.267,GWp,MAR
15,4.838743633,G$/GWp,219000,h,WINDOUT,24,0,2.876,GWp,KEN
16,100.0,G$/GWp,219000,h,WINDOUT,24,0,0.0,GWp,ZAF
17,5.723368406,G$/GWp,262800,h,WINDOUT,24,0,31.5,GWp,KOR
18,4.110254184,G$/GWp,219000,h,WINDOUT,24,0,21.259,GWp,EGY
19,4.317050548999999,G$/GWp,219000,h,WINDOUT,24,0,33.313,GWp,NGA
20,100.0,G$/GWp,262800,h,WINDOUT,24,0,0.0,GWp,BRA
21,4.268382056,G$/GWp,262800,h,WINDOUT,24,0,9.891,GWp,COL
22,5.22309741,G$/GWp,262800,h,WINDOUT,24,0,61.74,GWp,PER
23,3.918436101,G$/GWp,262800,h,WINDOUT,24,0,16.35,GWp,CHL
24,5.537641547521694,G$/GWp,219000,h,WINDOUT,24,0,127.491,GWp,FRA
25,4.159658656720125,G$/GWp,219000,h,WINDOUT,24,0,14.51,GWp,DEU
26,5.260364780612424,G$/GWp,219000,h,WINDOUT,24,0,541.777,GWp,USA
27,5.911079442847726,G$/GWp,219000,h,WINDOUT,24,0,2910.403,GWp,RUS
28,4.672029191947149,G$/GWp,219000,h,WINDOUT,24,0,343.885,GWp,CHN
29,4.533779954457198,G$/GWp,219000,h,WINDOUT,24,0,9.975,GWp,TUR
30,6.447405647799705,G$/GWp,219000,h,WINDOUT,24,0,84.783,GWp,JPN
