Type,sizing_constant,sizing_constant_unit,lifespan,lifespan_unit,RE_type,set_size,set_number,maximum_size,maximum_size_unit,location_name
0,100.0,G$/GWp,262800,h,WINDOUT,24,0,0.0,GWp,SGP
1,8.04839683,G$/GWp,262800,h,WINDOUT,24,0,311.181,GWp,IDN
2,9.094879403,G$/GWp,262800,h,WINDOUT,24,0,57.516,GWp,MYS
3,9.08605419,G$/GWp,262800,h,WINDOUT,24,0,1.542,GWp,BRN
4,9.892051344,G$/GWp,262800,h,WINDOUT,24,0,8.454,GWp,KHM
5,5.2301195541635614,G$/GWp,262800,h,WINDOUT,24,0,241.444,GWp,MMR
6,1242.955192,G$/GWp,262800,h,WINDOUT,24,0,37.281,GWp,PHL
7,8.922440226,G$/GWp,262800,h,WINDOUT,24,0,38.079,GWp,THA
8,9.052809139,G$/GWp,262800,h,WINDOUT,24,0,58.86,GWp,VNM
9,1.203931194,G$/GWp,262800,h,WINDOUT,24,0,13.3108,GWp,LAO
10,6.544642132986945,G$/GWp,262800,h,WINDOUT,24,0,2068.389,GWp,AUS
11,4.314817601443063,G$/GWp,262800,h,WINDOUT,24,0,92.223,GWp,SAU
12,100.0,G$/GWp,262800,h,WINDOUT,24,0,0.0,GWp,IND
13,1.446743332,G$/GWp,262800,h,WINDOUT,24,0,1000.0,GWp,ARE
14,4.553242825,G$/GWp,219000,h,WINDOUT,24,0,32.729,GWp,MAR
15,4.233063273,G$/GWp,219000,h,WINDOUT,24,0,0.504,GWp,KEN
16,100.0,G$/GWp,219000,h,WINDOUT,24,0,0.0,GWp,ZAF
17,6.351921029,G$/GWp,262800,h,WINDOUT,24,0,22.185,GWp,KOR
18,4.666341795,G$/GWp,219000,h,WINDOUT,24,0,32.424,GWp,EGY
19,4.978129709,G$/GWp,219000,h,WINDOUT,24,0,28.371,GWp,NGA
20,100.0,G$/GWp,262800,h,WINDOUT,24,0,0.0,GWp,BRA
21,4.479860483,G$/GWp,262800,h,WINDOUT,24,0,19.131,GWp,COL
22,4.516675975,G$/GWp,262800,h,WINDOUT,24,0,24.038,GWp,PER
23,4.462677668,G$/GWp,262800,h,WINDOUT,24,0,16.773,GWp,CHL
24,6.7231986796967,G$/GWp,219000,h,WINDOUT,24,0,115.919,GWp,FRA
25,100.0,G$/GWp,219000,h,WINDOUT,24,0,0.0,GWp,DEU
26,5.872878741883965,G$/GWp,219000,h,WINDOUT,24,0,566.418,GWp,USA
27,8.415471185862156,G$/GWp,219000,h,WINDOUT,24,0,2982.243,GWp,RUS
28,100.0,G$/GWp,219000,h,WINDOUT,24,0,0.0,GWp,CHN
29,4.544741802610406,G$/GWp,219000,h,WINDOUT,24,0,1.078,GWp,TUR
30,13.031366941770862,G$/GWp,219000,h,WINDOUT,24,0,260.076,GWp,JPN
