Type,sizing_constant,sizing_constant_unit,lifespan,lifespan_unit,RE_type,set_size,set_number,maximum_size,maximum_size_unit,location_name
0,1.917519263,G$/GWp,262800,h,WINDOUT,24,0,0.0008,GWp,SGP
1,1.735008303,G$/GWp,262800,h,WINDOUT,24,0,66.4506,GWp,IDN
2,1.918360584,G$/GWp,262800,h,WINDOUT,24,0,10.0264,GWp,MYS
3,1.917519263,G$/GWp,262800,h,WINDOUT,24,0,0.0288,GWp,BRN
4,1.458154619,G$/GWp,262800,h,WINDOUT,24,0,10.7014,GWp,KHM
5,1.422011554204481,G$/GWp,262800,h,WINDOUT,24,0,105.3675,GWp,MMR
6,1.150155125,G$/GWp,262800,h,WINDOUT,24,0,17.4846,GWp,PHL
7,1.410920381,G$/GWp,262800,h,WINDOUT,24,0,42.011,GWp,THA
8,1.219355259,G$/GWp,262800,h,WINDOUT,24,0,20.8976,GWp,VNM
9,1.203931194,G$/GWp,262800,h,WINDOUT,24,0,13.3108,GWp,LAO
10,1.2789483614674308,G$/GWp,262800,h,WINDOUT,24,0,1448.5695,GWp,AUS
11,1.422011554204555,G$/GWp,262800,h,WINDOUT,24,0,325.5595,GWp,SAU
12,1.1125482613437003,G$/GWp,262800,h,WINDOUT,24,0,472.605,GWp,IND
13,1.446743332,G$/GWp,262800,h,WINDOUT,24,0,1000.0,GWp,ARE
14,1.4574683460000002,G$/GWp,219000,h,WINDOUT,24,0,81.062,GWp,MAR
15,1.412301311,G$/GWp,219000,h,WINDOUT,24,0,101.2175,GWp,KEN
16,1.480256869,G$/GWp,219000,h,WINDOUT,24,0,244.2195,GWp,ZAF
17,1.534097811,G$/GWp,262800,h,WINDOUT,24,0,10.955,GWp,KOR
18,1.328754357,G$/GWp,219000,h,WINDOUT,24,0,192.833,GWp,EGY
19,1.4123068479999998,G$/GWp,219000,h,WINDOUT,24,0,246.5855,GWp,NGA
20,1.054268654,G$/GWp,262800,h,WINDOUT,24,0,766.7515,GWp,BRA
21,1.415274671,G$/GWp,262800,h,WINDOUT,24,0,121.244,GWp,COL
22,1.415276988,G$/GWp,262800,h,WINDOUT,24,0,71.7745,GWp,PER
23,1.1579888900000002,G$/GWp,262800,h,WINDOUT,24,0,46.43,GWp,CHL
24,1.4770714460688643,G$/GWp,219000,h,WINDOUT,24,0,69.3215,GWp,FRA
25,1.4718463593800344,G$/GWp,219000,h,WINDOUT,24,0,38.192,GWp,DEU
26,1.190696461040802,G$/GWp,219000,h,WINDOUT,24,0,1472.9595,GWp,USA
27,1.3875307772860317,G$/GWp,219000,h,WINDOUT,24,0,861.597,GWp,RUS
28,0.91889531030756,G$/GWp,219000,h,WINDOUT,24,0,751.1256,GWp,CHN
29,1.4024621505328354,G$/GWp,219000,h,WINDOUT,24,0,93.114,GWp,TUR
30,1.2806595311852476,G$/GWp,219000,h,WINDOUT,24,0,14.4085,GWp,JPN
