Type,sizing_constant,sizing_constant_unit,usage_constant,usage_constant_unit,capacity_factor,lifespan,lifespan_units,existing_capacity,existing_capaacity_unit,existing_capacity_decay_rate,interest_rate,
0,0,G$/GWp,2.90E-05,G$/GWh,0.9,525600,h,50,GWp,0.01,0.08,SG
1,1,G$/GWp,9.00E-01,G$/GWh,0.9,525600,h,50,GWp,0.01,0.08,ID
2,1,G$/GWp,9.00E-01,G$/GWh,0.9,525600,h,50,GWp,0.01,0.08,MY
3,1,G$/GWp,9.00E-01,G$/GWh,0.9,525600,h,50,GWp,0.01,0.08,BN
4,1,G$/GWp,9.00E-01,G$/GWh,0.9,525600,h,50,GWp,0.01,0.08,KH
5,1,G$/GWp,9.00E-01,G$/GWh,0.9,525600,h,50,GWp,0.01,0.08,MM
6,1,G$/GWp,9.00E-01,G$/GWh,0.9,525600,h,50,GWp,0.01,0.08,PH
7,1,G$/GWp,9.00E-01,G$/GWh,0.9,525600,h,50,GWp,0.01,0.08,TH
8,1,G$/GWp,9.00E-01,G$/GWh,0.9,525600,h,50,GWp,0.01,0.08,VN
9,1,G$/GWp,9.00E-01,G$/GWh,0.9,525600,h,50,GWp,0.01,0.08,LA
