Type,storage_sizing_constant,storage_sizing_constant_units,power_sizing_constant,reservoir_usage_constant_units,usage_constant,usage_constant_units,storage_conversion_factor,storage_maximum_capacity,storage_maximum_capacity_units,pumping_conversion_eff,turbine_conversion_eff,hours_storage,ramp_rate_unit,lifespan,lifespan_units,existing_capacity,existing_capacity_unit,existing_capacity_decay_rate,interest_rate,location_name
0,0.099,G$/GWh,1.839,G$/GWp,7.59E-07,G$/GWh,1,10,GWh,0.88,0.92,8,h,438000,h,0,GWh,0,0.08,SG
1,0.099,G$/GWh,1.839,G$/GWp,7.59E-07,G$/GWh,1,10,GWh,0.88,0.92,8,h,438000,h,0,GWh,0,0.08,ID
2,0.099,G$/GWh,1.839,G$/GWp,7.59E-07,G$/GWh,1,10,GWh,0.88,0.92,8,h,438000,h,0,GWh,0,0.08,MY
3,0.099,G$/GWh,1.839,G$/GWp,7.59E-07,G$/GWh,1,10,GWh,0.88,0.92,8,h,438000,h,0,GWh,0,0.08,BN
4,0.099,G$/GWh,1.839,G$/GWp,7.59E-07,G$/GWh,1,10,GWh,0.88,0.92,8,h,438000,h,0,GWh,0,0.08,KH
5,0.099,G$/GWh,1.839,G$/GWp,7.59E-07,G$/GWh,1,10,GWh,0.88,0.92,8,h,438000,h,0,GWh,0,0.08,MM
6,0.099,G$/GWh,1.839,G$/GWp,7.59E-07,G$/GWh,1,10,GWh,0.88,0.92,8,h,438000,h,0,GWh,0,0.08,PH
7,0.099,G$/GWh,1.839,G$/GWp,7.59E-07,G$/GWh,1,10,GWh,0.88,0.92,8,h,438000,h,0,GWh,0,0.08,TH
8,0.099,G$/GWh,1.839,G$/GWp,7.59E-07,G$/GWh,1,10,GWh,0.88,0.92,8,h,438000,h,0,GWh,0,0.08,VN
9,0.099,G$/GWh,1.839,G$/GWp,7.59E-07,G$/GWh,1,10,GWh,0.88,0.92,8,h,438000,h,0,GWh,0,0.08,LA
10,0.099,G$/GWh,1.839,G$/GWp,7.59E-07,G$/GWh,1,10,GWh,0.88,0.92,8,h,438000,h,0,GWh,0,0.08,AU
11,0.099,G$/GWh,1.839,G$/GWp,7.59E-07,G$/GWh,1,10,GWh,0.88,0.92,8,h,438000,h,0,GWh,0,0.08,SA
12,0.099,G$/GWh,1.839,G$/GWp,7.59E-07,G$/GWh,1,10,GWh,0.88,0.92,8,h,438000,h,0,GWh,0,0.08,IN
13,0.099,G$/GWh,1.839,G$/GWp,7.59E-07,G$/GWh,1,10,GWh,0.88,0.92,8,h,438000,h,0,GWh,0,0.08,AE
14,0.099,G$/GWh,1.839,G$/GWp,7.59E-07,G$/GWh,1,10,GWh,0.88,0.92,8,h,438000,h,0,GWh,0,0.08,MA
15,0.099,G$/GWh,1.839,G$/GWp,7.59E-07,G$/GWh,1,10,GWh,0.88,0.92,8,h,438000,h,0,GWh,0,0.08,KE
16,0.099,G$/GWh,1.839,G$/GWp,7.59E-07,G$/GWh,1,10,GWh,0.88,0.92,8,h,438000,h,0,GWh,0,0.08,ZA
17,0.099,G$/GWh,1.839,G$/GWp,7.59E-07,G$/GWh,1,10,GWh,0.88,0.92,8,h,438000,h,0,GWh,0,0.08,KR
18,0.099,G$/GWh,1.839,G$/GWp,7.59E-07,G$/GWh,1,10,GWh,0.88,0.92,8,h,438000,h,0,GWh,0,0.08,EG
19,0.099,G$/GWh,1.839,G$/GWp,7.59E-07,G$/GWh,1,10,GWh,0.88,0.92,8,h,438000,h,0,GWh,0,0.08,NG
20,0.099,G$/GWh,1.839,G$/GWp,7.59E-07,G$/GWh,1,10,GWh,0.88,0.92,8,h,438000,h,0,GWh,0,0.08,BR
21,0.099,G$/GWh,1.839,G$/GWp,7.59E-07,G$/GWh,1,10,GWh,0.88,0.92,8,h,438000,h,0,GWh,0,0.08,CO
22,0.099,G$/GWh,1.839,G$/GWp,7.59E-07,G$/GWh,1,10,GWh,0.88,0.92,8,h,438000,h,0,GWh,0,0.08,PE
23,0.099,G$/GWh,1.839,G$/GWp,7.59E-07,G$/GWh,1,10,GWh,0.88,0.92,8,h,438000,h,0,GWh,0,0.08,CL
24,0.099,G$/GWh,1.839,G$/GWp,7.59E-07,G$/GWh,1,10,GWh,0.88,0.92,8,h,438000,h,0,GWh,0,0.08,FR
25,0.099,G$/GWh,1.839,G$/GWp,7.59E-07,G$/GWh,1,10,GWh,0.88,0.92,8,h,438000,h,0,GWh,0,0.08,DE
26,0.099,G$/GWh,1.839,G$/GWp,7.59E-07,G$/GWh,1,10,GWh,0.88,0.92,8,h,438000,h,0,GWh,0,0.08,US
27,0.099,G$/GWh,1.839,G$/GWp,7.59E-07,G$/GWh,1,10,GWh,0.88,0.92,8,h,438000,h,0,GWh,0,0.08,RU
28,0.099,G$/GWh,1.839,G$/GWp,7.59E-07,G$/GWh,1,10,GWh,0.88,0.92,8,h,438000,h,0,GWh,0,0.08,CN
29,0.099,G$/GWh,1.839,G$/GWp,7.59E-07,G$/GWh,1,10,GWh,0.88,0.92,8,h,438000,h,0,GWh,0,0.08,TR
30,0.099,G$/GWh,1.839,G$/GWp,7.59E-07,G$/GWh,1,10,GWh,0.88,0.92,8,h,438000,h,0,GWh,0,0.08,JP
